pm_id,store,unit_serial,batch,photos_removed,photos_remaining,removed_showing,removed_files,photos_after,corrected_pdf
263,Pet Supplies Plus #4045,223088,June,1,2,10157996,Pet_Supplies_Plus__4045_223088_20260626_photo_1_1782515539210.jpg,Pet_Supplies_Plus__4045_223088_20260626_photo_2_1782515539210.jpg|Pet_Supplies_Plus__4045_223088_20260626_photo_3_1782515539210.jpg,Pet_Supplies_Plus__4045_223088_20260626_1782515539210_CORRECTED_20260828.pdf
411,Save Mart #622,10874906,July,1,0,313084,Save_Mart__622_10874906_20260715_photo_1_1784144461977.jpg,,Save_Mart__622_10874906_20260715_1784144461977_CORRECTED_20260828.pdf
416,Petco #1343,20125900000422,July,1,1,10157996,Petco__1343_20125900000422_20260715_photo_1_1784145715518.jpg,Petco__1343_20125900000422_20260715_photo_2_1784145715518.jpg,Petco__1343_20125900000422_20260715_1784145715518_CORRECTED_20260828.pdf
423,Safeway #2263,310797,July,1,1,10157996,Safeway__2263_310797_20260715_photo_1_1784155811749.jpg,Safeway__2263_310797_20260715_photo_2_1784155811749.jpg,Safeway__2263_310797_20260715_1784155811749_CORRECTED_20260828.pdf
424,Food Maxx #453,11008872,July,1,1,11008876,Food_Maxx__453_11008872_20260720_photo_1_1784579526863.jpg,Walmart_US__3141_290980_20260721_photo_2_1784668589577.jpg,Food_Maxx__453_11008872_20260720_1784579526863_CORRECTED_20260828.pdf
425,Vons #1969,294053,July,1,0,11008872,Vons__1969_294053_20260720_photo_1_1784579554808.jpg,,Vons__1969_294053_20260720_1784579554808_CORRECTED_20260828.pdf
430,Albertsons #377,10671487,July,1,0,11008876,Albertsons__377_10671487_20260720_photo_1_1784585526454.jpg,,Albertsons__377_10671487_20260720_1784585526454_CORRECTED_20260828.pdf
434,Target #2524,9632927,July,2,0,11008876|11008872,Target__2524_9632927_20260720_photo_1_1784589984954.jpg|Target__2524_9632927_20260720_photo_2_1784589984954.jpg,,Target__2524_9632927_20260720_1784589984954_CORRECTED_20260828.pdf
441,Albertsons #3129,10671490,July,1,0,11008872,Albertsons__3129_10671490_20260721_photo_1_1784594332645.jpg,,Albertsons__3129_10671490_20260721_1784594332645_CORRECTED_20260828.pdf
446,Sam's Club #4819,M155783,July,1,0,11008876,Sam_s_Club__4819_M155783_20260721_photo_1_1784595751644.jpg,,Sam_s_Club__4819_M155783_20260721_1784595751644_CORRECTED_20260828.pdf
447,Albertsons California #3364,10609622,July,1,1,10157996,Albertsons_California__3364_10609622_20260721_photo_1_1784596275232.jpg,Albertsons_California__3364_10609622_20260721_photo_2_1784596275232.jpg,Albertsons_California__3364_10609622_20260721_1784596275232_CORRECTED_20260828.pdf
454,Walmart US #2557,10254960,July,1,1,10609651,Walmart_US__2557_10254960_20260721_photo_1_1784601994179.jpg,Walmart_US__2557_10254960_20260721_photo_2_1784601994179.jpg,Walmart_US__2557_10254960_20260721_1784601994179_CORRECTED_20260828.pdf
